Review,Class
"Recomiendo visitarlo después de que hayas realizado la tradicional Callejoneada por las calles de la ciudad, siento que es lo mejor ya que ellos te cuentan las historia antes de entrar al callejón y lo aprecias de forma distinta que si llegaras por tu propia cuenta.
Es un lugar que no parece ser lo que muchos describen, pero si vas en pareja toma un mejor sentido.",4
"Un hotel de terror realmente . Pésimas instalaciones.. habitación horribles, inundadas, con cucarachas...Lo único rescatable es que está en el malecón...osea pagas la ubicación y nada más...se cae a pedazos! Estuve en octubre 2018 y no lo recomiendo para nada",1
"La mejor vista de todo Bogotá, hay 2 opciones para subir al Cerro Monserrate, el funicular funciona desde las 9am y el teleférico desde la 11am. Por los 2 medios puedes disfrutar de toda la vista y urbe de la capital Colombiana.",4
"Es pequeño y puede dar una buena visión general de la historia de las tribus en Colombia. No es espectacular como esperaba. Entrada era muy barato, sólo 3000 pesos (1.5 USD) así que sin duda merece la pena visitar ya que es también el centro de la ciudad y se puede ver que también. Cerca de la catedral de Monserrate",3
"Es un hotel realmente encantador en su fachada y en su loby que es una muestra de la época gloriosa de los años 20 o 30. Luego en las habitacion son de muy mala calidad, me hospede por trabajo 8 dias, si bien el cuarto asignado era amplio y muy bien distribuido, la calidad y limpieza dejaba de desar. El sofa estaba gastado como si fuese arañado por un gato y la alfombra sucia y manchada, sin contar que al TV le faltaba el cable de energia.  Era la 3 vez que venia al hotel y en cada una de ellas va perdiendo calidad. NO es digno de la cadena FIESTA AMERICANA",3
"oro, es historia, es la cultura, y por supuesto: es impresionante arte! ¡Tengo ganas de volver en mi próxima visita a Bogotá!",5
"¡Gracias a Dios por el sector privado - gran restaurante que encontramos a través de la buena suerte - excelente servicio y la comida también era el mejor que hemos tenido en La Habana. claramente el personal en este lugar eran realmente haciendo un esfuerzo...- y la música era encantador. Las raciones son generosas, así no pedir demasiado. Es más caro que otros lugares en La Habana, pero merece la pena.Más",5
"Lo único que lamento sobre nuestro viaje a Vallarta iba a Eddy's para la cena.

El restaurante estaba vacía cuando llegamos, así que elegimos una mesa y se sentó. Las sillas estaban extremadamente incómodas. Pedimos steak - una Nueva York, uno mingnon fliet, tanto mediano bien.

Primero de todo, nos llevó una eternidad para los filetes para salir (literalmente casi una hora) y no vimos nuestro servidor una vez que todo el tiempo - no check-in, sin bebida, nada. Eddy hizo una aparición en nuestra mesa durante este tiempo, pero estaba cayendo borrachos. No es divertido. Los otros cuatro grupos que llegó después de que no nos dieron todo su comida antes que nosotros y tenía, por lo que, un agradable y atenta servidor.

Segundo, cuando nuestra comida vino finalmente, los bistecs eran tan tierna y sabrosa como Pucks de hockey. Sin duda pasado bien, y yo ni siquiera creo que la mía era un Filet de corte mingnon. Una vez más, nuestro servidor desapareció, por lo que incluso si nos quería enviar nuestra comida de vuelta (que estábamos muy hambrientos por ese tiempo, sólo quería comer) probablemente hubiéramos tenido que caminar a la cocina nosotros mismos.

Por último, se tardaba muchísimo en bandera alguien para conseguir el registro. Todavía no recambios ofrecidas en nuestras bebidas. Dos horas de nuestro tiempo, y dos dolores estomago más tarde, nos dejaron totalmente decepcionado.

Si quieres buena comida realmente en Nuevo Vallarta, salida Por Que no ... también dirige el infame Eddy. No entiendo cómo dos restaurantes puede ser propiedad de la misma persona, operar prácticamente al patio, y tienen tales drásticamente diferentes resultados. Yo creo que el personal de Eddy's toma su lugar por sentado mientras Por Que no es nuevo y tratando de ganar un lugar en la escena local del restaurante.

Vamos a volver a Vallarta el próximo año, pero nunca ponen un pie en Eddy es nuevo.",1
"Antes de ir a Cuba escuche mucho de la fama de la bodeguita del medio, sin embargo, al llegar me di cuenta que no es lo que pintaban. Los mojitos, que caracterizan la fama de este restaurante, realmente no son tan buenos y pude probar...Más",3
Es una versión malísima de Presidente Masaryk. Muchas mansiones abandonadas pocas tiendas y pocos restaurantes. Francamente esperaba más.,1
"Un lugar que siempre he querido ver vino finalmente cierto! Lo que un sitio increíble. Mi calendario podría haber sido mejor, ya que nos perdimos el descenso de plumas Serpent por sólo 2 días. Nuestro guía Carlos sabía lo suyo, y nos aconsejaron cuando había se rumorea/especulación o hecho respecto a algunas de las estructuras. Las 2 horas en coche al sitio estaba roto con WC/pausas de café y la oportunidad de comprar recuerdos. Si te gusta el café, tomar una grande doble espresso en esta primera parada - era una maravilla!! Las tiendas para comprar souvenirs no era demasiado intimidante como el personal no estaban en su rostro. Una vez más nos aconsejaron Carlos donde se podía comprar cosas más barato en el centro de Cancún, y nos dio buenos consejos para trueque! Pasamos un par de horas en el sitio, la mayoría de los cuales pasamos escuchando a Carlos. Teníamos unos 30 minutos al final para pasear y tomar un par de fotos menos apresurada, un poco más de tiempo libre habría sido genial pasear por algunas de las estructuras más remotas. El almuerzo en los cenotes fue la primera parada en el tramo de vuelta, y era más que adecuado. Decidimos no tener una inmersión pero otros dijeron que el agua estaba muy refrescante y bien vale la pena el esfuerzo de cambio y bajar por las escaleras. La segunda escapada fue en una ciudad pequeña y hermosa plaza de estilo colonial con la oportunidad de tomar un helado hecho en la zona de hielo mientras revisar la arquitectura. La iglesia franciscana de San Sebastián estaba preciosa en su sencillez y merece la pena. Después de esto fue de 1 3/4 hora de viaje a Cancún - tiempo perfecto para una siesta. ¡No estábamos alojados en la franja del hotel pero estaban dispuestos a recogernos de nuestro hotel en el centro. Nuestro conductor Andrés era servicial lo suficiente como para dejarnos en el centro de la ciudad de sobra la a pie de nuestro hotel, para poder tomar un alimento rápido. En general, el precio estaba bien merece la pena, y lo recomendaría a cualquiera que se aloje en Cancún. Prueba a planear su visita para ver el Serpent descender hacia sus cenotes!!",5
